ligne;course;dow;first_time;med_time;nb_courses;first_date;last_date;created_at
45;3948309;1;"07:30:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948309;2;"07:30:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948309;3;"07:30:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948309;4;"07:30:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948309;5;"07:30:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948310;1;"07:38:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948310;2;"07:38:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948310;3;"07:38:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948310;4;"07:38:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948310;5;"07:38:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948311;1;"07:45:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948311;2;"07:45:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948311;3;"07:45:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948311;4;"07:45:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948311;5;"07:45:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948312;1;"07:53:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948312;2;"07:53:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948312;3;"07:53:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948312;4;"07:53:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948312;5;"07:53:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948313;1;"08:00:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
